진료과명,진료과소개
소화기내과,"상부위장관, 하부위장관, 간, 췌장담도등 4개의 전문분야를 진료하며, 각 전문분야별로 상부위장관 내시경, 대장내시경, 내시경적 역행성 담췌관조영술, 내시경 초음파, 캡슐내시경등 진단 목적의 내시경 검사를 시행하고 있습니다 더불어 초음파검사, CT, MRI,PET-CT 등 첨단 의료장비를 활용하여 다양한 소화기질환을 진료하고 있습니다."
심장내과,"심장혈관 질환 (관상동맥질환, 심부전증, 심장판막질환, 대동맥 및 말초혈관질환, 부정맥 및 박동기, 기타 심근병증 등) 에 대한 전문진료를 실시하는 진료과로, 심장혈관검사실에서의 혈관 중재술 및 부정맥 검사와 고주파전극도자 절제술 등을 시행하고 있으며 급성 심근 경색 환자의 응급 관상동맥 확장 성형술을 시행하고 있습니다. 동시에 다량의 심장초음파검사, 운동부하 검사, 홀터 검사, 24시간 혈압 검사, 동맥경직도 검사, 기립경사검사 등이 가능한 심장 기능 검사실을 운영하며 양질의 의료서비스를 제공하고 있습니다. 또한 경피적 대동맥 판막 치환술(TAVI), 기타 선천성 심장질환에 대한 시술 및 부정맥 치료인 심장내 기구 삽입술 등의 고난도 수술을 성공적으로 시행하며 심장질환 치료를 선도하고 있으며 심뇌혈관질환센터에서의 체계적이고 유기적인 진료를 시행하고 있습니다."
호흡기알레르기내과,"감염성 질환인 폐렴, 결핵과 천식, 만성폐쇄성폐질환 같은 기도질환 및 폐암, 간질성폐질환 등 주로 폐와 기관지에서 발생하는 질환치료와 중환자실에서 집중치료를 담당하고 있습니다."
내분비내과,"신체의 호르몬과 대사에 관련된 당뇨병과 골다공증, 갑상선 및 대사 질환에 대한 전문진료를 실시하고 있으며, 당뇨병에 대한 치료, 합병증 관리 및 교육 등을 체계적으로 통합 진료하는 당뇨병센터를 운영하고 있습니다."
신장내과,"환자의 약물조절과 환자 교육,투석치료와 신장이식에 대한 전문진료를 실시하고 있으며 혈액투석 외에도 고혈압,당뇨, 사구체질환, 급만성 신질환 및 전해질 장애 등에 대해 전문적인 치료를 제공하고 있습니다. 또한 신장센터는 혈액투석실, 복막투석실, 수술실을 갖추고 급성 및 만성신부전 환자의 총제적 진료와 수술을 시행하고 있다."
종양혈액내과,"각종 암의 내과적 치료를 담당하는 내과의 전문 분과이며, 혈액 내과는 급성 및 만성 백혈병을 비롯하여 골수이형성 증후군, 림프종, 다발성 골수종의 항암화학요법을 시행합니다. 이외에도 빈혈과 혈전, 출혈성 질환 등의 다양한 혈액질환 진단과 치료를 담당하고 있습니다"
감염내과,"발열, 피부 발진을 동반한 전신질환, 림프절염, 위장관염, 심혈관계 감염, 비뇨생식기계 감염, 피부 및 연조직 감염, 호흡기 감염, 골관절계 감염 등 일반적인 세균 질환을 포함하여 대상포진, 수두,풍진, 홍역, 에이즈 (HIV 감염) 등을 유발하는 바이러스 질환과 진균, 기생충 질환 또한 진료하고 있습니다."
류마티스내과,"류마티스 관절염이나 강직성 척추염, 전신성 홍반성 루푸스나 염증성 근염, 베체트병과 같은 자가면역질환, 결합조직질환을 진료하고 있으며, 통풍, 퇴행성 관절염 등 만성 관절질환에 대한 조기에 진단과 치료에도 힘쓰고 있습니다."
통합내과,응급실로 내원하는 만성 복합성 내과적 질환자의 입원치료를 담당하고 있으며 입원전담 전문의 운영을 통해 환자안전과 수준높은 의료서비스를 제공하고 있습니다.
신경과,"뇌, 척수, 말초신경, 근육, 자율신경에 생기는 다양한 질병을 진단하고 치료하는 의학 분야로 뇌졸중 및 뇌혈관 질환, 치매, 파킨슨병 및 이상운동질환, 뇌전증, 말초신경 및 근육질환, 루게릭병, 척수질환, 다발성경화증 및 시신경척수염, 자율신경병, 두통 및 어지러움, 수면질환 등을 진료하고 있습니다"
정신건강의학과,"심리적인 문제 또는 중추 신경계와 말초 신경, 근율을 포함하는 말초 신경계에 생기는 질병을 치료하는 진료과로 발달지연 클리닉, 위기중재 클리닉, 알코올 클리닉, 암 스트레스 클리닉 등을 운영하며, 근거중심 진료, 인간중심 진료를 펼쳐나가고 있습니다"
외과,"외과학을 간담췌, 대장항문, 위장관, 유방/내분비, 이식혈관 5개의 분야로 세분화하여 운영 중이며, 대장암, 간암, 위암, 췌장암, 갑상선암에 대한 복강경 및 로봇 수술을 시행하고 있으며 장기이식수술을 집중 육성분야로 선정하여, 신장이식과 간이식을 시행하고 있다."
정형외과,"근골격계 진료을 실시하고 있으며 진료의 전문화를 꾀하고자 인공관절치환술, 척추디스크질환, 각종 최소침습수술, 소아, 족부질환, 미세수부외과 등과 같은 특수한 분야에도 힘을 쏟고 있다. 또한 인공관절센터에서는 모든 분야에서 분과별로 환자 개개인에게 최적화되고 특화된 수술적 치료를 제공하고 있다."
신경외과,중추신경계인 뇌와 척수의 질환과 말초신경계의 이상을 진단하고 치료하는 진료과입니다.
심장혈관흉부외과,"인체 중 흉부에 위치한 심장, 폐, 식도, 대동맥, 종격동, 횡격막, 기관 등 장기의 질환을 진단하고 주로 수술적 방법으로 치료하는 진료과이다."
성형외과,"선천성 기형, 두개 악안면 성형, 유방성형 재건 등 선천적이거나 후천적으로 발생한 신체의 구조적·기능적 결함을 교정,원상 또는 그 이상으로 복원하는 치료를 실시하고 있으며 흉터성형 레이저클리닉을 개설하여 다양한 특화진료를 실시하고 있다."
마취통증의학과,"수술 중 마취 관리는 물론 전신마취 수술방의 운영과 중환자실(집중치료실) 관리, 신경차단과 같은 적극적인 방법을 이용하여 여러가지 통증을 예방하고 치료 하는 통증클리닉을 운영하고 있습니다."
산부인과,"모체 태아 의학, 부인 종양학, 불임, 생식내분비 및 내시경 수술 분야를 연구, 치료하는 진료과로 경기 북부지역 고위험산모 신생아통합치료센터로 지정되어 탄탄한 전문인력과 시설을 바탕으로 고위험 산모의 진료에 최선을 다함은 물론 로봇수술 시행으로 부인암 수술, 가임력보존술, 자궁탈 교정술등 다양한 분야에서 최고의 수술 성과를 거두고 있습니다."
소아청소년과,"소아신장, 신경, 심장, 알레르기질환들과 육아지도 및 영양, 행동 발달등을 검사하고 치료하고 있습니다."
안과,"각막, 수정체, 망막등 안구 내 조직과 주변 조직인 눈꺼풀, 안와, 시신경 질환에 대한 예방, 진단, 치료를 당담하는 진료과로 첨단안과검사 장비를 도입하여 선진화된 진료를 실시하고 있습니다.
※안과 진료는 검사 후에 진료가 가능하며, 진료예약시간은 검사 시작시간을 의미합니다. 검사에 따라 약물(산동제)사용으로 인해 시력이 불편하고 눈부심이 발생하여 자가 운전은 불가합니다. 안과 진료는 검사 포함 평균 약 2시간 정도 소요됩니다.
※진료예약은 진료를 받으실 환자 본인의 이름으로 해주시기 바랍니다."
이비인후과,"귀, 코, 두경부에 관련된 질환에 대한 내과적 및 외과적 치료를 하는 전문 진료과로 세분화된 분과별 진료와 더불어 귀, 코, 목질환 환자에 대한 질높은 수술과 치료를 실시하고 있습니다."
피부과,"피부 및 손, 발톱이나 모발 등의 피부 부속 기관, 피하 지방층, 눈으로 관찰할 수 있는 점막 부위에 발생하는 질환을 다루는 진료과로 현미경 자외선 치료기 전기 소작기, 냉동 치료기외 다양한 종류의 레이저 기기를 갖추고 다양한 피부질환에 대한 전문진료를 실시하고 있습니다."
비뇨의학과,"남성, 여성, 소아의 요로계통과 성기능, 생식기능 및 부신을 포함한 후복막강에 발생한 질환을 치료하는 진료과로 최신 의료장비를 완비하여 비수술적 치료 성공률을 높이고 있으며, 복강경수술 및 최신 로봇시스템을 이용한 수술까지 양질의 최신치료를 제공하고 있습니다. 또한 장기이식센터를 개소하여 공여신 절제술 등 신장이식 수술을 활발히 시행하고 있습니다."
영상의학과,"방사선·초음파·자장 등으로 인체 내부를 검사하여 진단에 이용하는 진료과로서 일반촬영, CT촬영, MRI촬영,혈관촬영, 투시촬영, 초음파검사, 골밀도검사로 세분화되어 있으며 뇌 동맥류, 복부 및 흉부 대동맥류, 심부정맥 혈전증, 혈관색전증 등 다양한 중재적 시술을 24시간 시행하여 진단뿐 아니라 치료에서도 매우 중요한 역할을 담당하고 있습니다."
방사선종양학과,"방사선을 이용하여 악성종양을 치료하는 임상전문 분야로서 수술 항암치료 요법과 더불어 3대 암 치료법 중 하나로 효과적인 방사선치료를 위해 치료 중 환자의 움직임을 추적하며 방사선치료와 방사선수술을 시행할 수 있는 최신의 방사선치료기인 Linac(RapidArc), SRS system, CT 모의치료기(CT-Simulator)등의 최신 장비 도입하여 암 환자 치료에 최선을 다하고 있습니다."
병리과,환자로부터 채취한 조직 및 세포 검사물을 통해 환자의 질병을 진단하여 `최종진단명`을 임상의사에게 제공하며 환자치료에 기여하고 있습니다.
진단검사의학과,"혈액, 소변, 뇌척수액,체액과 같이 인체에서 유래하는 각종 검체에 대하여 적절한 검사를 시행함으로써 환자 진단 및 치료에 기여하고 있으며유전클리닉을 개설·운영하여 유전성 질환이 의심되는 환자에게 정확하고 빠른 진단 및 치료가 이루어지도록 첨단 검사와 전문화된 유전상담을 통해 맞춤 진료를 구현하고 있습니다."
재활의학과,"뇌졸중, 척수손상, 근골격계 질환, 심폐재활등의 성인재활치료와 뇌성마비, 발달지연등의 소아재활 시스템을 갖추고 질환 및 생애주기에 맞는 전문적이고 체계적인 재활치료를 수행하고 있습니다."
가정의학과,"인간적인 의료와 다양한 여러 증상을 총괄하여 전체적으로 평가하고 진료할 수 있는 진료과 입니다.
금연클리닉, 비만클리닉, 예방접종 예약은 전화예약센터를 통해 예약 바랍니다"
핵의학과,"방사성동위원소를 이용하여 안전하고 편안하게 몸의 상태와 질병을 진단하고 치료하는 전문 의학 분야로 핵의학 검사는 크게 체내 영상검사와 방사성동위원소 치료로 구분합니다. 첨단 장비를 구축하여 골격계, 신경계, 신장 및 비뇨기계, 내분비계, 간·담도 소화기계, 호흡기계 등 분야의 방사성의약품을 이용한 다양한 검사 방사성동위원소 치료 분야는 갑상선 악성종양 등 악성신생물을 방사성동위원소인 I-131을 사용하여 치료하는 것으로서 현재 1개의 병실을 운영하며 치료에 힘쓰고 있습니다."
치과,"구강악안면외과, 치과교정과, 치과보존과, 치과보철과, 치주과의 5개 전문과로 세분화하여 과별로 전문 진료가 이루어지고 있으며 3D 분석기법을 이용한 양악수술, 중장년 성인교정과 구순구개열 환자 진료, 자가치아이식술, 임플란트 고정 의치, 디지털 가이드 임플란트 수술 등 전문과별 특화 진료를 실시하고 있습니다."
응급의학과,"24시간 상주하며 즉각적인 치료가 요구되는 응급환자에 대해 포괄적이고 전문적인 응급진료를 담당하고 약물중독, 환경응급, 소생술 후 치료가 필요한 입원환자를 진료하고 있습니다."
심뇌혈관질환센터,풍부한 시술경험의 우수한 의료진과 최고 수준의 심뇌혈관질환센터가 구성되어 있습니다.
암스트레스클리닉,"암환자들이 암을 진단 받고 치료하는 과정에서 겪게 되는 우울감, 불안감, 불면 등의 경험은 암환자의 투병의지를 악화시킬 뿐만 아니라 암의 경과 치료과정 및 예후에 안좋은 영향을 미치게 되고 환자의 삶의 질을 저하시킵니다. 암스트레스클리닉은 진단시기부터 발생될 수 있는 다양한 신체적 증상과 심리사회적 문제를 해결하고, 가족과 함께 암을 극복하고 삶의 질 향상을 지원하고자 합니다."
